docid,c0search_terms,c1surah_no,c2ayah_no
1,"الفَاتِحَة",1,1
2,"al baqarah, al baqarah, al baqra, baqra, baqarah, البقرة, البقرة, البقرة, البقره, البقره, Baqarah, Al Baqarah, baqrah, albaqarah, bakara, baqoroh, baqara, bakarah, Al Baqarah, baqarah, البَقَرَة",2,1
3,"al imran, ali imran, ali imron, emran, العمران, العمران, آل عِمرَان",3,1
4,"al nisa, an nisa, النساء, النساء, nissa, anisa, annisa, Nisa, النِّسَاء",4,1
5,"maidah, al maidah, المَائدة",5,1
6,"al anam, al anam, الأنعام, الأنعام, anam, al an'am, الأنعَام",6,1
7,"al araf, al a'raf, الأعراف, الأعراف, aaraf, الأعرَاف",7,1
8,"alanfal, alanfal, الأنفال,الأنفال,anfal,anfaal, الأنفَال",8,1
9,"at tauba, at taubah, at taubah, at tawbah, at taubat, التوبة, التوبة, التوبة, التوبة, attaubah, toba, taoba, tawba, Tawbah, at Taubah, attaubah, at tauba, at tauba, التوبة, التوبة, التوبَة",9,1
10,"يُونس",10,1
11,"al hud, هود, huud, hud, هُود",11,1
12,"al yusuf, al yusuf, يوسف, يوسف, Yusuf, يُوسُف",12,1
13,"ar rad, ar rad, الرعد, الرعد, ra'du, rad, ar rad, arradu, الرَّعْد",13,1
14,"Ibrahim, ابراهيم, إبراهيم",14,1
15,"al hijr, al hijr, الحجر, الحجر, الحجر",15,1
16,"an nahl, an nahal, النحل, النحل, nahli, annahl, النحل",16,1
17,"al israa, al isra, الإسراء, الإسراء, isra, israh, israk, isro, israa, al-isra, اسرا, zina, الاسراء, اﻹسراء",17,1
18,"kahf, kahfi, الكهف, الكهف, الکهف, الكَهْفِ, الكهف, سوره الكهف, سوره الكاهف, سورة الكاهف, سورة الكهف, سورة الكهف, কাফিরুন, কাহাফ, কাহাফ, কাহাব, كাহا, কাহাপ, Al kahf, kahaf, khaf, kahd, kef, kahg, kaif, khf, khf, khafi, khaf, khaf, khahf, khaf, khf, khf, khafi
al kahf, al kahfi, surah kahf, الكهف",18,1
19,"mariam, Maryam, mariyam, surah maryam, مريم",19,1
20,"toha, thaha, طه",20,1
21,"الانبياء, anbia, anbiyah, اﻷنبياء",21,1
22,"al hajj, al haj, الحج, الحج, alhaj, alhaj, الحج",22,1
