id,collection_id,book_id,number,title,intro,ending,title_ar,intro_en,ending_en
1.0,1,1.0,1.0,"How the Divine Revelation started being revealed to Allah's Messenger","وَقَوْلُ اللَّهِ جَلَّ ذِكْرُهُ: {إِنَّا أَوْحَيْنَا إِلَيْكَ كَمَا أَوْحَيْنَا إِلَى نُوحٍ وَالنَّبِيِّينَ مِنْ بَعْدِهِ}","","باب كَيْفَ كَانَ بَدْءُ الْوَحْىِ إِلَى رَسُولِ اللَّهِ صلى الله عليه وسلم","",""
2.0,1,1.0,2.0,"","","","باب","",""
3.0,1,1.0,3.0,"","","","باب","",""
4.0,1,1.0,4.0,"","","","باب","",""
5.0,1,1.0,5.0,"","","","باب","",""
6.0,1,1.0,6.0,"","","","باب","",""
1.0,1,2.0,1.0,"The statement of the Prophet (ﷺ) ""Islam is based on five principles","وَهُوَ قَوْلٌ وَفِعْلٌ، وَيَزِيدُ وَيَنْقُصُ. قَالَ اللَّهُ تَعَالَى: {لِيَزْدَادُوا إِيمَانًا مَعَ إِيمَانِهِمْ}، {وَزِدْنَاهُمْ هُدًى}، {وَيَزِيدُ اللَّهُ الَّذِينَ اهْتَدَوْا هُدًى}، {وَالَّذِينَ اهْتَدَوْا زَادَهُمْ هُدًى وَآتَاهُمْ تَقْوَاهُمْ}، {وَيَزْدَادَ الَّذِينَ آمَنُوا إِيمَانًا}، وَقَوْلُهُ: {أَيُّكُمْ زَادَتْهُ هَذِهِ إِيمَانًا فَأَمَّا الَّذِينَ آمَنُوا فَزَادَتْهُمْ إِيمَانًا}. وَقَوْلُهُ جَلَّ ذِكْرُهُ: {فَاخْشَوْهُمْ فَزَادَهُمْ إِيمَانًا}. وَقَوْلُهُ تَعَالَى: {وَمَا زَادَهُمْ إِلاَّ إِيمَانًا وَتَسْلِيمًا}. وَالْحُبُّ فِي اللَّهِ وَالْبُغْضُ فِي اللَّهِ مِنَ الإِيمَانِ. وَكَتَبَ عُمَرُ بْنُ عَبْدِ الْعَزِيزِ إِلَى عَدِيِّ بْنِ عَدِيٍّ إِنَّ لِلإِيمَانِ فَرَائِضَ وَشَرَائِعَ وَحُدُودًا وَسُنَنًا، فَمَنِ اسْتَكْمَلَهَا اسْتَكْمَلَ الإِيمَانَ، وَمَنْ لَمْ يَسْتَكْمِلْهَا لَمْ يَسْتَكْمِلِ الإِيمَانَ، فَإِنْ أَعِشْ فَسَأُبَيِّنُهَا لَكُمْ حَتَّى تَعْمَلُوا بِهَا، وَإِنْ أَمُتْ فَمَا أَنَا عَلَى صُحْبَتِكُمْ بِحَرِيصٍ. وَقَالَ إِبْرَاهِيمُ: {وَلَكِنْ لِيَطْمَئِنَّ قَلْبِي}. وَقَالَ مُعَاذٌ: اجْلِسْ بِنَا نُؤْمِنْ سَاعَةً. وَقَالَ ابْنُ مَسْعُودٍ: الْيَقِينُ الإِيمَانُ كُلُّهُ. وَقَالَ ابْنُ عُمَرَ: لاَ يَبْلُغُ الْعَبْدُ حَقِيقَةَ التَّقْوَى حَتَّى يَدَعَ مَا حَاكَ فِي الصَّدْرِ. وَقَالَ مُجَاهِدٌ: {شَرَعَ لَكُمْ} أَوْصَيْنَاكَ يَا مُحَمَّدُ وَإِيَّاهُ دِينًا وَاحِدًا. وَقَالَ ابْنُ عَبَّاسٍ: {شِرْعَةً وَمِنْهَاجًا} سَبِيلاً وَسُنَّةً.","","بَابُ الإِيمَانِ وَقَوْلِ النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ: «بُنِيَ الإِسْلاَمُ عَلَى خَمْسٍ»","",""
2.0,1,2.0,2.0,"Your invocation means your faith","","","باب دُعَاؤُكُمْ إِيمَانُكُمْ","",""
3.0,1,2.0,3.0,"(What is said) regarding the deeds of faith","وَقَوْلِ اللَّهِ تَعَالَى: {لَيْسَ الْبِرَّ أَنْ تُوَلُّوا وُجُوهَكُمْ قِبَلَ الْمَشْرِقِ وَالْمَغْرِبِ وَلَكِنَّ الْبِرَّ مَنْ آمَنَ بِاللَّهِ وَالْيَوْمِ الآخِرِ وَالْمَلاَئِكَةِ وَالْكِتَابِ وَالنَّبِيِّينَ وَآتَى الْمَالَ عَلَى حُبِّهِ ذَوِي الْقُرْبَى وَالْيَتَامَى وَالْمَسَاكِينَ وَابْنَ السَّبِيلِ وَالسَّائِلِينَ وَفِي الرِّقَابِ وَأَقَامَ الصَّلاَةَ وَآتَى الزَّكَاةَ وَالْمُوفُونَ بِعَهْدِهِمْ إِذَا عَاهَدُوا وَالصَّابِرِينَ فِي الْبَأْسَاءِ وَالضَّرَّاءِ وَحِينَ الْبَأْسِ أُولَئِكَ الَّذِينَ صَدَقُوا وَأُولَئِكَ هُمُ الْمُتَّقُونَ}. وَقَوْلِهِ: {قَدْ أَفْلَحَ الْمُؤْمِنُونَ} الآيَةَ.","","باب أُمُورِ الإِيمَانِ","",""
4.0,1,2.0,4.0,"A Muslim is the one who avoids harming Muslims with his tongue and hands","","","باب الْمُسْلِمُ مَنْ سَلِمَ الْمُسْلِمُونَ مِنْ لِسَانِهِ وَيَدِهِ","",""
5.0,1,2.0,5.0,"Whose Islam is the best (Who is the best Muslim)?","","","باب أَىُّ الإِسْلاَمِ أَفْضَلُ","",""
