id,name,tags,is_featured,order,icon_image,parent_topic,hadith_urns
1,"Quran and Quranic Knowledge","",0,1,"","",""
110,"Aqidah (Belief)","",0,1,"","",""
125,"Ibadah (worship of Allah)","",0,1,"","",""
239,"Mu'amalat (dealings)","",0,1,"","",""
290,"Islamic politics","",0,1,"","",""
382,"Etiquette and manners","",0,1,"","",""
445,"History, Biographies and News","",0,1,"","",""
516,Knowledge,"",0,1,"","",""
2,"The revelation of the Qur’an","",0,1,"",1.0,"132640, 163850, 140370, 176330, 179350, 182960"
3,"The virtues of the Qur'an","",0,1,"",1.0,"914640, 914610, 731170, 731371, 731250, 914550, 142550, 119310, 914580"
4,"Quran readings","",0,1,"",1.0,"164831, 181080, 181990, 142550"
5,"Interpretation of the Qur'an","",0,1,"",1.0,"178840, 142620, 914610, 111301, 132640, 163850, 179270, 118280, 164831, 181651, 185760, 142440, 914990, 724390, 142410, 157260, 176010, 179610, 164790, 181080, 181940, 176330, 181610, 142650, 179250, 178680, 177420, 183060, 156170, 181990, 109250, 177050, 129490, 180550, 179350, 180240, 129130, 140210, 154330, 722600, 913930, 178890, 182960, 183100, 182540, 164850, 178920, 178970"
6,"Qur'an recitation","",0,1,"",1.0,"914680, 142620, 914760, 185730, 914070, 185760, 142440, 142410, 177050, 140210, 913930, 914580"
7,"Memorizing the Qur'an","",0,1,"",1.0,""
8,"Qur'an Compilation","",0,1,"",1.0,"176010, 907860"
9,"Division of the Qur'an","",0,1,"",1.0,""
10,"Arrangement of surahs and verses","",0,1,"",1.0,907860
11,"The names of the surahs of the Qur’an","",0,1,"",1.0,""
12,"Names of some verses of the Qur’an","",0,1,"",1.0,""
13,"Quranic stories","",0,1,"",1.0,"171800, 178840, 164651, 724100, 161200, 123800, 179610, 140370, 123270, 181610, 705770, 180550, 171730, 180240, 121920, 178920, 178970, 156370"
14,"Clear and unclear verses meaning in the Quran","",0,1,"",1.0,""
15,"Abrogation in the Qur’an","",0,1,"",1.0,""
111,"The Religion","",0,1,"",110.0,"723560, 156560, 726231, 171900, 171100, 131190, 164651, 728190, 726420, 176260, 174930, 139860, 148540, 726480, 175610, 722940, 914990, 913090, 100310, 719620, 100360, 181160, 100390, 123270, 162160, 156240, 177160, 722821, 156840, 183060, 161050, 173470, 100210, 132390, 132700, 134810, 133870, 156900, 710330, 100190, 155720, 721540, 710870, 150690, 135010, 105560, 111820, 724810, 725550, 154090, 101150, 112760, 710190, 156890, 176610, 718220, 156040, 156370"
112,"The Acts Contrary to Aqidah (Belief)","",0,1,"",110.0,"730290, 147040, 134610, 710200, 112780, 147460, 126750, 140730, 128910, 180550, 130370"
113,"The Sayings Contrary to Aqidah (Belief)","",0,1,"",110.0,""
114,"The loyalty and disavowal (al-wala’ wa’l-bara’)","",0,1,"",110.0,"139670, 171100, 135850, 716670, 179100, 173730, 716830, 716820, 100210, 122130, 720480, 169770"
115,"Unity and Diversity","",0,1,"",110.0,"139670, 171900, 131190, 100310, 710870"
116,"Some questions about the Subsections of Aqidah (Belief) (e.g.: not fundamentals))","",0,1,"",110.0,""
126,"Taharah (Purity)","",0,1,"",125.0,"901950, 131700, 903530, 147040, 901130, 901500, 900300, 903380, 101720, 101480, 143670, 901330, 903720, 102960, 900310, 102260, 902430, 101650, 903060, 102590, 103100, 102550, 101510, 103420, 729320, 900620, 901070, 147530, 902690, 102320, 103110, 901240, 702380, 901390, 900450, 140680, 102120, 900190, 903190, 901060, 901900, 154010, 901850, 901110, 102650, 132050, 902060, 103890, 103160, 900430, 102920, 902600, 901340, 710050, 900590, 900890, 902070, 107640, 901650, 103230, 902300, 900550, 900780, 101740"
127,"Salat (The prayer)","",0,1,"",125.0,"104930, 123090, 705080, 171050, 705530, 909990, 115220, 909310, 139290, 702870, 184890, 706060, 710420, 105420, 909930, 181880, 104980, 914250, 911540, 185310, 904940, 702090, 105850, 110690, 185590, 185150, 905730, 919660, 910730, 703850, 914760, 185730, 105570, 913570, 725141, 107990, 903380, 701730, 703090, 705270, 184450, 906300, 703940, 904570, 705860, 708900, 185620, 153550, 906970, 907970, 909090, 912020, 913440, 908990, 913760, 110810, 912210, 174930, 108480, 171660, 905020, 186250, 185030, 186150, 108920, 910270, 904370, 909060, 913530, 137670, 119270, 913100, 908910, 143990, 108820, 913060, 703880, 110620, 184360, 911500, 910620, 184090, 110320, 118090, 703400, 109490, 912780, 705670, 912660, 181890, 112310, 909120, 913090, 704760, 103950, 728230, 913200, 906000, 911030, 912080, 903950, 908480, 136440, 905600, 906470, 109500, 108080, 120360, 704840, 710890, 139980, 703390, 909560, 915080, 905970, 910090, 915180, 721070, 912580, 704020, 112181, 911700, 110490, 913400, 109140, 907630, 907080, 907610, 910460, 705770, 129850, 912090, 104580, 913450, 702380, 710760, 914450, 702910, 184310, 110150, 909610, 704571, 719770, 908170, 102120, 907470, 904440, 112270, 110340, 185920, 109620, 914160, 914530, 908360, 901850, 184020, 911010, 133970, 110290, 107780, 907150, 909950, 703640, 910820, 157800, 705070, 911910, 705440, 703970, 910810, 106000, 112260, 154330, 110210, 911250, 137680, 103890, 908450, 919310, 703280, 710460, 710410, 186431, 103830, 105260, 705250, 912110, 185270, 178890, 710630, 108010, 105650, 133990, 710050, 909220, 150890, 914930, 910690, 910890, 702510, 129750, 705840, 109670, 900890, 109800, 185900, 105940, 107640, 914360, 909740, 904080, 908640, 108040, 907160, 105440, 910590, 909770, 185990, 909580, 705200, 900550, 704500, 905630, 912410, 108430, 126100"
128,"Zakah and Sadaqah","",0,1,"",125.0,"916760, 716260, 125480, 916590, 178840, 706770, 123460, 916840, 126650, 113720, 174930, 916120, 118090, 100560, 111850, 915630, 916800, 139980, 158250, 113430, 125110, 122350, 181970, 911460, 916610, 915610, 916580, 717200, 722650, 145530, 145520, 183020, 113650, 155720, 124920, 145690, 724920, 158680, 150890, 100550, 169340, 900590, 915730, 180030, 114050"
129,"Siyam (Fasting)","",0,1,"",125.0,"118570, 118330, 708030, 707280, 174930, 118280, 158210, 118090, 115650, 707030, 163820, 158250, 118220, 721070, 119330, 118930, 706830, 707340, 118980, 119320, 707330, 119390, 119410, 155720, 707870, 145690, 119310, 172000, 119220, 118260, 914360, 707150, 177200, 178390, 707050, 707740"
130,"Hajj and Umrah","",0,1,"",125.0,"114860, 919510, 115220, 147560, 918390, 709400, 108731, 145300, 919660, 178460, 717540, 117731, 708900, 115150, 919170, 179960, 708700, 114710, 158170, 917430, 116410, 918330, 917700, 917950, 116850, 115650, 117280, 111850, 151400, 919190, 918430, 709740, 124211, 179880, 109710, 147530, 918550, 917970, 917520, 169690, 117050, 709290, 170780, 117690, 114640, 151260, 109680, 715790, 139750, 708620, 708250, 715810, 101040, 917400, 116880, 114490, 918280, 709190, 919650, 917490, 140290, 116791, 102720, 919030, 709700, 919330, 116460, 708920, 124880, 708420, 917580, 115020, 919180, 709750"
131,"Dua and Adhkar","",0,1,"",125.0,"137520, 704870, 157220, 724130, 913570, 900300, 108920, 175610, 731170, 915350, 704660, 731371, 915080, 915270, 135880, 110490, 907630, 731250, 119330, 174300, 133390, 140690, 154350, 914450, 154440, 101410, 154260, 121920, 154100, 155720, 154330, 915540, 915490, 154400, 178920, 148800, 704880, 915480"
132,"Oaths and vows","",0,1,"",125.0,"716260, 157600, 716070, 158210, 158110, 178781, 181970, 714851, 144910"
240,"Financial transactions and Eenah transactions","",0,1,"",239.0,"120810, 171050, 105850, 716670, 712980, 121020, 714640, 143460, 713590, 169330, 121710, 714181, 714460, 172650, 731371, 124090, 126460, 153880, 710890, 120800, 177160, 125360, 178781, 170640, 123220, 114010, 125180, 714851, 128560, 121651, 150260, 138690, 158450, 128420, 713470, 714282, 725430, 120560, 121770, 123290, 712640, 127060, 113900, 121190, 170200, 120231, 124250"
