id,famous_name,born_on,died_on,lived_in,nick_name
1,"Prophet Muhammad (ﷺ)","53 BH/570 CE (9th Rabi' awwal)","11 AH/632 CE (12th Rabi' awwal",Makkah/Medina,"Abu Qasim"
2,"Abu Bakr As-Siddique","51 BH/573 CE","13 AH/634 CE",Makkah/Medina,"Abu Bakr"
3,"'Umar ibn al-Khattab","41 BH/582 CE","23 AH/645 CE",Makkah/Medina,"Abu Hafs, al-Farooq"
4,"'Uthman ibn 'Affaan","47 BH/579 CE","35 AH/655 CE",Makkah/Abyssinia/Medinah,"Dhun-Nurayn, Abu 'Abdullah"
5,"Ali ibn Abi Talib","23 BH/600 CE (13 Rajab)","40 AH/661 CE (21 Ramadhan)",Makkah/Medina/kufa,"Abu al-Hasan, Abu Turab"
6,"Talha ibn 'Ubaidullah","28 BH/596 CE","36 AH/656 CE",Makkah/Medinah,"Abu Muhammad"
7,"Zubayr ibn al-Awwam","28 BH/596 CE","36 AH/656 CE",Makkah/Medinah,"Abu 'Abdullah"
8,"'Abdur Rahman Ibn 'Awf","~43 BH/580 CE (est.)","32 AH/654 CE",Makkah/Abyssinia/Medinah,"Abu Muhammad"
9,"Sa'd ibn Abi Waqqas","39 BH/584 CE","55 AH/664 CE",Makkah/Medina/Kufa,"Abu Ishaq"
10,"Abu 'Ubaidah ibn al-Jarrah","40 BH/584 CE","18 AH/640 CE",Makkah/Medina/Syria,"Abu 'Ubaidah"
11,"Sa'id bin Zayd","~23 BH/594 CE","50 AH/671 CE",Makkah/Medina/Kufa,Abu-al-Aawar
12,"Mus'ab ibn 'Umair","","3 AH/625 CE",Makkah/Abyssinia/Medinah,"Abu 'Umar or Abu 'Abdullah"
13,"Abu Hurairah","12 BH/603 CE","59 AH/681 CE",Makkah/Medina/Yemen/Bahrain,"Abu Hurairah"
14,"Salman Farsi","","36 AH","Asbahan,Jia,Medina,Fars,Kufa","Abu 'Abdullah"
15,"Zayd ibn Harithah","35 BH/588 CE","8 AH/629 CE",Makkah/Medina,"Abu Usama"
16,"ibn Mas'ud","","32 AH/ 652 CE",Makkah/Abyssinia/Medina/kufah,"Abu 'Abdur Rahman"
17,"ibn Abbas","3 BH/619 CE","68 AH/687 CE",Makkah/Medina,"Abu al-Abbas"
18,"ibn Umar","10 BH/613 CE","74 AH/693 CE",Makkah/Medina,"Abu 'Abdur Rahman"
19,"Anas bin Malik","10 BH/613 CE","93 AH/712 CE","Medinah,Damascus, Basrah","Abu Hamza"
20,"Hamza ibn 'Abd al-Muttalib","53 BH/ 570 CE","3 AH/ 625 CE",Makkah/Medina,"Abu 'Umara, Abu Ya'la"
21,"Ja'far ibn Abi Talib","~33 BH","8 AH/629 CE",Makkah/Abyssinia/Medina,"Abu 'Abdullah, Dhul-Janahain"
22,"Khalid bin al-Walid","30 BH/592 CE","21 AH/642 CE",Makkah/Medina/Syria,"Abu Sulaiman, Saif Allah"
23,"Abu Dharr al-Ghaffari","","32 AH/652 CE",Hijaz/Medina/Syria/Al-Rabathah,"Abu Dhar"
24,"Bilal ibn Ribah","","21 AH/642 CE",Makkah/Medina/Syria,"Abu 'Abdullah"
25,"'Ammar ibn Yasir","57 BH/566 CE (approx)","37 AH/657 CE",Makkah/Medina/kufah,"Abu al-Yaqzan"
26,"'Abdullah bin Jahsh","","3 AH/625 CE",Makkah/Medina,"Abu Muhammad"
27,"Mu'awiya ibn Abu Sufyan","13 BH/602 CE","~60 AH/680 CE",Makkah/Medina/Syria/Egypt,"Abu 'Abdur Rahman"
