category,favourite,audio_name,dua_transliteration,english_translation,dua_id,dua_title,dua_arabic,additional_info,counter,reference,urdu_translation,id
Forgiveness,no,dua_0,astagh-firul-laah,"I seek Allah’s forgiveness",0,"Seeking forgiveness from Allah during the day","أَسْتَغْفِرُ اللهَ","Al-Agharr al-Muzani, who was one amongst the Companions (of the Holy Prophet) reported that Allah's Messenger (May peace be upon him) said: There is (at times) some sort of shade upon my heart, and I seek forgiveness from Allah a hundred times a day.",0,"Sahih Muslim 2702 a, In-book reference : Book 48, Hadith 52, USC-MSA web (English) reference : Book 35, Hadith 6522","میں بخشش طلب کرتا ہوں اللہ سے",81
Dressing,no,dua_2,"allaahumma lakal-hamdu anta kasawtaneehi, as’aluka min khayrihi wa khayri maa suni‛a lahu, wa ’a‛oodhu bika min sharrihi wa sharri maa suni‛a lah","O Allah, to You belongs all praise, You have clothed me with it (i.e. the garment), I ask You for the good of it and the good for which it was made, and I seek refuge with You from the evil of it and the evil for which it was made.",2,"Wearing New Clothes","ٱللَّهُمَّ لَكَ الْحَمْدُ أَنْتَ كَسَوْتَنِيهِ ، أَسْأَلُكَ مِنْ خَيْرِهِ وَخَيْرِ مَا صُنِعَ لَهُ ، وَأَعُوذُ بِكَ مِنْ شَرِّهِ وَشَرِّ مَا صُنِعَ لَهُ","Narrated AbuSa'id al-Khudri: When the Messenger of Allah (May peace be upon him) put on a new garment he mentioned it by name, turban or shirt, and would then say: O Allah, praise be to Thee! as Thou hast clothed me with it, I ask Thee for its good and the good of that for which it was made, and I seek refuge in Thee from its evil and the evil of that for which it was made.                  Abu Nadrah said: When any of the Companions of the Prophet (May peace be upon him) put on a new garment, he was told: May you wear it out and may Allah give you another in its place.",0,"""Sunan Abi Dawud 4020
In-book reference: Book 34, Hadith 1
English translation: Book 33, Hadith 4009
""","اے اللہ سب تعریفیں تیرے لیے ہیں۔ تو نے مجھے یہ لباس عطا کیا، میں تجھ سے اس کی اچھای مانگتی ہوں اور وہ  اچھای جس کے لیے یہ بنا اور میں تجھ سے اسکی برای سے پناہ مانگتی اور وہ  برای جس کے لیے یہ بنا ",61
Dressing,no,dua_3,Bismillaahi,"In the name of Allah",3,"When Undressing","بِسْمِ اللهِ","Ali bin Abi Talid (may Allah be pleased with him) narrated that: the Messenger of Allah said: ""The screen between the eyes of the jinns and nakedness of the children of Adam when one of you enters the area of relieving oneself is saying: 'Bismillah.'""",0,""" Jami` at-Tirmidhi 606
In-book reference: Book 6, Hadith 63
English translation: Vol. 2, Book 1, Hadith 606
""","شروع اللہ کے نام سے",62
Restroom,no,dua_5,"(bismillaah) allaahumma innee a‛oodhu bika minal-khubuthi wal-khabaa’ith ","(In the name of Allah) O Allah, I seek refuge with you from all evil and evil-doers. ",5,"Entering Restroom","(بِسْمِ اللَّهِ)ٱللَّهُمَّ إِنِّي أَعُوذُ بِكَ مِنَ الْخُبْثِ وَالْخَبَائِث","Anas reported: When the Messenger of Allah (May peace be upon him) entered the privy, and in the hadith transmitted by Hushaim (the words are): When the Messenger of Allah (May peace be upon him) entered the lavatory, be used to say: O Allah, I seek refuge in Thee from wicked and noxious things.",0,"""Sahih Muslim 375 a
In-book reference: Book 3, Hadith 152
USC-MSA web (English) reference: Book 3, Hadith 729
""","اے اللہ میں ناپاکی اور ناپاک چیزوں سے تیری پناہ ماگتا  ہوں۔",134
Restroom,no,dua_6,Ghufraanaka,"I seek your forgiveness",6,"Leaving Restroom","غُفْرَانَكَ","Narrated Aisha, Ummul Mu'minin: When the Prophet (May peace be upon him) came out of the privy, he used to say: ""Grant me Thy forgiveness.""",0,"""Sunan Abi Dawud 30
In-book reference: Book 1, Hadith 30
English translation: Book 1, Hadith 30
""","اے اللہ ! میں تیری بخشش چاہتا ہوں",135
Prayer,no,dua_7,Bismillahi,"In the name of Allah",7,"Before Ablution","بِسْمِ اللهِ","It was narrated that Abu Sa'eed bin Zaid said:""The Messenger of Allah said: 'There is no prayer for one who does not have ablution, and there is no ablution for one who does not mention the Name of Allah (before it).'""",0,""" Ibn Majah No# 398
In-book reference: Book 1, Hadith 398
English translation: Vol. 1, Book 1, Hadith 368
""","شروع اللہ کے نام سے",111
Prayer,no,dua_8,"ash-hadu an laa ilaha ill-allaahu wahdahu laa shareeka lahu, wa ash-hadu anna muhammadan ‛abduhu wa rasooluhu","I bear witness that none has the right to be worshipped but Allah alone, who has no partner; and I bear witness that Muhammad is His slave and His Messenger",8,"After Ablution","أَشْهَدُ أَنْ لَا إِلَهَ إِلَّا اللَّهُ وَحْدَهُ لَا شَرِيكَ لَهُ، وَأَشْهَدُ أَنَّ مُحَمَّدًا عَبْدُهُ وَرَسُولُهُ ","Umar bin Al-Khattab narrated that :Allah's Messenger said: 'Whoever performs Wudu, making Wudu well, then says: (Ashhadu an la ilaha illallah, wahdahu la sharika lahu, wa ashhadu anna Muhammadan-abduhu wa rasuluhu, Allahummajalni minat tawwabin, waj'alni minal mutatahhirin) 'I testify that none has the right to be worshipped but Allah Alone, there are no partners for Him. And I testify that Muhammad is His servant and Messenger. O Allah! Make me among the repentant, and make me among those who purify themselves.' Then eight gates of Paradise are opened for him, that may enter by whichever of them wishes.""",0,"""Jami` at-Tirmidhi 55
In-book reference: Book 1, Hadith 55
English translation: Vol. 1, Book 1, Hadith 55
""","میں گواہی دیتا ہوں کہ اللہ کے سوا کوئی معبود نہیں وہ اکیلا ہے اس کا کوئی شریک نہیں اور میں گواہی دیتا ہوں کہ محمد صلی اللہ علیہ وآلہ وسلم اس کے بندے اور رسول ہیں اے اللہ مجھے توبہ کرنے والوں اور طہارت حاصل کرنے والوں میں سے بنا دے",112
Prayer,no,dua_9,"wa ana ash-hadu an laa ilaaha ill-allaahu wahdahu laa shareeka lahu wa anna muhammadan ‛abduhu wa rasooluhu, radeetu billaahi rabban wa bimuhammadin rasoolan wa bil-islaami deen-an","And I too testify that none has the right to be worshiped but Allah, Alone without partners, and that Muhammad is His slave and Messenger, I am pleased with Allah as my Lord, with Islam as my religion and Muhammad as a Messenger.",9,"Hearing Adhan","وَ أَنَا أَشْهَدُ أَنْ لَا إِلَهَ إِلَّا اللَّهُ وَحْدَهُ لَا شَرِيكَ لَهُ وَأَنَّ مُحَمَّدًا عَبْدُهُ وَرَسُوْلُهُ، رَضِيْتُ بِاللَّهِ رَبًا وَّ بمُحَمَّدِ رَّسُوْلاً وَّ بِالْإ سْلامِ دِيْنًا","Sa'd bin Abi Waqqas narrated that :Allah's Messenger said: ""Whoever says, when he hears the Mu'adh-dhin: (Wa Ana Ashadu An La Ilaha Illallah, Wahdahu La Sharika Lahu, Wa Anna Muhammadan Abduhu Wa Rasuluhu, Radittu Billahi Rabban Wa Bil-Islam Dinan, Wa Bi Muhammadin Rasulan) 'I too testify that none has the right to be worshiped but Allah, Alone without partners, and that Muhammad is His slave and Messenger, I am pleased with Allah as my Lord, with Islam as my religion and Muhammad as a Messenger.' - Allah will pardon his sins for him.""",0,"""Reference 1: Jami` at-Tirmidhi 210
In-book reference: Book 2, Hadith 62
English translation: Vol. 1, Book 2, Hadith 210
""","میں گواہی دیتا هوں کہ اللہ کے سوا کوئی معبود نہیں وہ اکیلا ہے اس کا کوئی شریک نہیں اور بلاشبہ محمد اس کے بندے اور رسول ہیں میں راضی ہوں اللہ کے رب ہونے پر اسلام کے دین ہونے اور محمد صلی اللہ علیہ وآلہ وسلم کے رسول ہونے پر",113
Prayer,no,dua_10,"as-salaamu ‛alaa rasool-lil-laah,  allaa-hum-ma innee as’aluka min fad-lik, allahumma‛-simnee minash-shaytaan-ir-rajeem","Peace be upon the Messenger of Allah, O Allah, I ask You from Your favour.O Allah, guard me from the accursed devil",10,"Leaving Mosque","السَّلامُ عَلَى رَسُولِ اللهِ، اَللّٰهُمَّ إِنِّي أَسْأَلُكَ مِنْ فَضْلِكَ اللَّهُمَّ اعْصِمْنِي مِنَ الشَّيْطَانِ الرَّجِيمِ","""Abu Usaid al-Ansari reported the Messenger of Allah (May peace be upon him) as saying:
when any of you enters the mosque he should invoke blessing on the prophet (May peace be upon him) and then he should say: O Allah, open to me the gates of thy mercy. And when he goes out, he should say: O Allah, I ask thee out of Thine abundance.""",0,"""Sunan Abi Dawud 465
In-book reference: Book 2, Hadith 75
English translation: Book 2, Hadith 465
Reference 2: Sunan Ibn Majah 773
In-book reference: Book 4, Hadith 39
English translation: Vol. 1, Book 4, Hadith 773
""","اے اللہ میں تیرا فضل طلب کرتا ہوں، مردود شیطان سے میری حفاظت فرما",114
Prayer,no,dua_11,"allaahumma rabba haadhi-hid-da‛watit-taammah, was-salaatil-qaa’imah, aati muhammadan-il-waseelata wal-fadeelah, wab‛ath-hu maqaaman mahmoodan-illadhee wa‛adtah","O Allah, Owner of this perfect call and Owner of this prayer to be performed, bestow upon Muhammad al-waseelah and al-fadeelah and raise him upon a praised platform which You have promised him.",11,"Replying Call of Moazin","ٱللَّهُمَّ رَبَّ هَذِهِ الدَّعْوَةِ التَّامَّةِ وَالصَّلاةِ الْقَائِمَةِ آتِ مُحَمَّدًا الوَسِيلَةَ وَالْفَضِيلَةَ وَابْعَثْهُ مَقَامًا مَحْمُودًا الَّذِي وَعَدْتَه","""Jabir b. ‘Abd Allah reported the Messenger of Allah (May peace be upon him) as saying:
if anyone says when he hears the call to prayer : “O Allah, Lord of this perfect call and of the prayer which is established for all time, grant Muhammad the wasilah and excellency, and raise him up in a praiseworthy position which Thou hast promised, he will be assured of my intercession.""",0,"""Reference         : Sunan Abi Dawud 529
In-book reference         : Book 2, Hadith 139
English translation         : Book 2, Hadith 529""","اے اللہ اس دعوت تامہ کے رب اور قائم و دائم نماز کے مالک محمد صلی اللہ علیہ وآلہ وسلم کو مقام وسیلہ اور فضیلت عطاء فرما اور مقام محمود پر پہنچاجس کا تو نے محمد صلی اللہ علیہ وآلہ وسلم سے وعدہ فرمایا ہے",115
