Ayat_ID,surat_ID,para_ID,only_aayat_no,mark
1,1,1,0,0
2,1,1,1,0
3,1,1,2,0
4,1,1,3,0
5,1,1,4,0
6,1,1,5,0
7,1,1,6,0
8,1,1,7,0
9,2,1,0,0
10,2,1,1,0
11,2,1,2,0
12,2,1,3,0
13,2,1,4,0
14,2,1,5,0
15,2,1,6,0
16,2,1,7,0
17,2,1,8,0
18,2,1,9,0
19,2,1,10,0
20,2,1,11,0
21,2,1,12,0
22,2,1,13,0
23,2,1,14,0
24,2,1,15,0
25,2,1,16,0
26,2,1,17,0
27,2,1,18,0
28,2,1,19,0
29,2,1,20,0
30,2,1,21,0
31,2,1,22,0
32,2,1,23,0
33,2,1,24,0
34,2,1,25,0
35,2,1,26,0
36,2,1,27,0
37,2,1,28,0
38,2,1,29,0
39,2,1,30,0
40,2,1,31,0
41,2,1,32,0
42,2,1,33,0
43,2,1,34,0
44,2,1,35,0
45,2,1,36,0
46,2,1,37,0
47,2,1,38,0
48,2,1,39,0
49,2,1,40,0
50,2,1,41,0
51,2,1,42,0
52,2,1,43,0
53,2,1,44,0
54,2,1,45,0
55,2,1,46,0
56,2,1,47,0
57,2,1,48,0
58,2,1,49,0
59,2,1,50,0
60,2,1,51,0
61,2,1,52,0
62,2,1,53,0
63,2,1,54,0
64,2,1,55,0
65,2,1,56,0
66,2,1,57,0
67,2,1,58,0
68,2,1,59,0
69,2,1,60,0
70,2,1,61,0
71,2,1,62,0
72,2,1,63,0
73,2,1,64,0
74,2,1,65,0
75,2,1,66,0
76,2,1,67,0
77,2,1,68,0
78,2,1,69,0
79,2,1,70,0
80,2,1,71,0
81,2,1,72,0
82,2,1,73,0
83,2,1,74,0
84,2,1,75,0
85,2,1,76,0
86,2,1,77,0
87,2,1,78,0
88,2,1,79,0
89,2,1,80,0
90,2,1,81,0
91,2,1,82,0
92,2,1,83,0
93,2,1,84,0
94,2,1,85,0
95,2,1,86,0
96,2,1,87,0
97,2,1,88,0
98,2,1,89,0
99,2,1,90,0
100,2,1,91,0
101,2,1,92,0
102,2,1,93,0
103,2,1,94,0
104,2,1,95,0
105,2,1,96,0
106,2,1,97,0
107,2,1,98,0
108,2,1,99,0
109,2,1,100,0
110,2,1,101,0
111,2,1,102,0
112,2,1,103,0
113,2,1,104,0
114,2,1,105,0
115,2,1,106,0
116,2,1,107,0
117,2,1,108,0
118,2,1,109,0
119,2,1,110,0
120,2,1,111,0
121,2,1,112,0
122,2,1,113,0
123,2,1,114,0
124,2,1,115,0
125,2,1,116,0
126,2,1,117,0
127,2,1,118,0
128,2,1,119,0
129,2,1,120,0
130,2,1,121,0
131,2,1,122,0
132,2,1,123,0
133,2,1,124,0
134,2,1,125,0
135,2,1,126,0
136,2,1,127,0
137,2,1,128,0
138,2,1,129,0
139,2,1,130,0
140,2,1,131,0
141,2,1,132,0
142,2,1,133,0
143,2,1,134,0
144,2,1,135,0
145,2,1,136,0
146,2,1,137,0
147,2,1,138,0
148,2,1,139,0
149,2,1,140,0
150,2,1,141,0
151,2,2,142,0
152,2,2,143,0
153,2,2,144,0
154,2,2,145,0
155,2,2,146,0
156,2,2,147,0
157,2,2,148,0
158,2,2,149,0
159,2,2,150,0
160,2,2,151,0
161,2,2,152,0
162,2,2,153,0
163,2,2,154,0
164,2,2,155,0
165,2,2,156,0
166,2,2,157,0
167,2,2,158,0
168,2,2,159,0
169,2,2,160,0
170,2,2,161,0
171,2,2,162,0
172,2,2,163,0
173,2,2,164,0
174,2,2,165,0
175,2,2,166,0
176,2,2,167,0
177,2,2,168,0
178,2,2,169,0
179,2,2,170,0
180,2,2,171,0
181,2,2,172,0
182,2,2,173,0
183,2,2,174,0
184,2,2,175,0
185,2,2,176,0
186,2,2,177,0
187,2,2,178,0
188,2,2,179,0
189,2,2,180,0
190,2,2,181,0
191,2,2,182,0
192,2,2,183,0
193,2,2,184,0
194,2,2,185,0
195,2,2,186,0
196,2,2,187,0
197,2,2,188,0
198,2,2,189,0
199,2,2,190,0
200,2,2,191,0
201,2,2,192,0
202,2,2,193,0
203,2,2,194,0
204,2,2,195,0
205,2,2,196,0
206,2,2,197,0
207,2,2,198,0
208,2,2,199,0
209,2,2,200,0
210,2,2,201,0
211,2,2,202,0
212,2,2,203,0
213,2,2,204,0
214,2,2,205,0
215,2,2,206,0
216,2,2,207,0
217,2,2,208,0
218,2,2,209,0
219,2,2,210,0
220,2,2,211,0
221,2,2,212,0
222,2,2,213,0
223,2,2,214,0
224,2,2,215,0
225,2,2,216,0
226,2,2,217,0
227,2,2,218,0
228,2,2,219,0
229,2,2,220,0
230,2,2,221,0
231,2,2,222,0
232,2,2,223,0
233,2,2,224,0
234,2,2,225,0
235,2,2,226,0
236,2,2,227,0
237,2,2,228,0
238,2,2,229,0
239,2,2,230,0
240,2,2,231,0
241,2,2,232,0
242,2,2,233,0
243,2,2,234,0
244,2,2,235,0
245,2,2,236,0
246,2,2,237,0
247,2,2,238,0
248,2,2,239,0
249,2,2,240,0
250,2,2,241,0
251,2,2,242,0
252,2,2,243,0
253,2,2,244,0
254,2,2,245,0
255,2,2,246,0
256,2,2,247,0
257,2,2,248,0
258,2,2,249,0
259,2,2,250,0
260,2,2,251,0
261,2,2,252,0
262,2,3,253,0
263,2,3,254,0
264,2,3,255,0
265,2,3,256,0
266,2,3,257,0
267,2,3,258,0
268,2,3,259,0
269,2,3,260,0
270,2,3,261,0
271,2,3,262,0
272,2,3,263,0
273,2,3,264,0
274,2,3,265,0
275,2,3,266,0
276,2,3,267,0
277,2,3,268,0
278,2,3,269,0
279,2,3,270,0
280,2,3,271,0
281,2,3,272,0
282,2,3,273,0
283,2,3,274,0
284,2,3,275,0
285,2,3,276,0
286,2,3,277,0
287,2,3,278,0
288,2,3,279,0
289,2,3,280,0
290,2,3,281,0
291,2,3,282,0
292,2,3,283,0
293,2,3,284,0
294,2,3,285,0
295,2,3,286,0
296,3,3,0,0
297,3,3,1,0
298,3,3,2,0
299,3,3,3,0
300,3,3,4,0
301,3,3,5,0
