id,name
1,Ablution
2,"Allah Names"
3,Anger
4,Animal
5,Authority
6,Battle
7,Behavior
8,Belief
9,Blessing
10,Brotherhood
11,Children
12,Clothing
13,Corruption
14,Crime
15,Daughters
16,Death
17,Destiny
18,Devil
19,Disaster
20,Disease
21,Divorce
22,Dowry
23,Drink
24,Dua
25,Earthquake
26,Family
27,Fasting
28,Fathers
29,Forgiveness
30,Friends
31,Gift
32,Greed
33,Hajj
34,Halal
35,Happiness
36,Heaven
37,Humility
38,Husband
39,Islam
40,Jihad
41,Jinn
42,Job
43,Justice
44,Magic
45,Marriage
46,Muhammad
47,Neighbor
48,Orphans
49,Parents
50,Patience
51,Prayer
52,Quran
53,Ramadan
54,Relatives
55,Sister
56,Suicide
57,Wives
58,Women
59,Youth
60,Zakat
61,Interest
62,Wealth
