id,arabic,reference,transliteration,english_translation,no_total_count,counter,total
1,"سبحان الله","","Subḥān Allāh","Glory be to Allah",33,0,0
2,"الحَمْد لله","","Al-ḥamdu lillāh","Praise be to Allah",33,0,0
3,"الله أكبر","","Allāh u Akbar","Allah is [the] greatest",33,0,0
4,"استغفرالله","",Astagfirullah,"I seek forgiveness of Allah",33,0,0
5,"سُبحَانَ اللّهِ وَ بِحَمْدِهِ","","SubhanAllahi wa biHamdihi","Glory be to Allah and I Praise Him",33,0,0
6,"لآ اِلَهَ اِلّا اللّهُ مُحَمَّدٌ رَسُوُل اللّهِ","","La ilaha illa-llah, Muhammadu-rasulu-llah","There is no Allah but Allah, Muhammad is the Messenger of Allah.",33,0,0
7,"اَشْهَدُ اَنْ لَّآ اِلٰهَ اِلَّا اللہُ وَحْدَهٗ لَا شَرِيْكَ لَهٗ وَ اَشْهَدُ اَنَّ مُحَمَّدً اعَبْدُهٗ وَرَسُوْلُهٗ","","Ašh-hadu an-lā ilāha il-lal-lahu, wah-dahu, lā sha-reeka lahu, wa ašh-hadu an-na Muḥammadan ʿabduhu wa rasūluhu.","I bear witness that (there is) no God except Allah; One is He, and I bear witness that Muhammad (PBUH) is His Servant and Messenger.",33,0,0
8,"وَارْزُقْنَا وَأَنتَ خَيْرُ الرَّازِقِينَ",[5:114],"Waorzuqna waanta khayru alrraziqeena","And provide for us, and You are the best of providers",33,0,0
9,"وَيَسِّرْ لِي أَمْرِي",[20:26],"Wayassir lee amree","And ease for me my task",33,0,0
10,"قَالَ رَبِّ إِنِّي ظَلَمْتُ نَفْسِي فَاغْفِرْ لِي فَغَفَرَ لَهُ ۚ إِنَّهُ هُوَ الْغَفُورُ الرَّحِيمُ",[28:16],"Qala rabbi innee thalamtu nafsee faighfir lee faghafara lahu innahu huwa alghafooru alrraheemu","He said, ""My Lord, indeed I have wronged myself, so forgive me,"" and He forgave him. Indeed, He is the Forgiving, the Merciful.",33,0,0
11,"فَإِن تَوَلَّوْا فَقُلْ حَسْبِيَ اللَّـهُ لَا إِلَـٰهَ إِلَّا هُوَ ۖعَلَيْهِ تَوَكَّلْتُ ۖ وَهُوَ رَبُّ الْعَرْشِ الْعَظِيمِ",[9:129],"Fa in tawallaw faqul hasbiya Allahu la ilaha illa huwa AAalayhi tawakkaltu wahuwa rabbu alAAarshi alAAatheemi","But if they turn away, [O Muhammad], say, ""Sufficient for me is Allah; there is no deity except Him. On Him I have relied, and He is the Lord of the Great Throne.""",33,0,0
12,"الَّذِينَ آمَنُوا وَتَطْمَئِنُّ قُلُوبُهُم بِذِكْرِ اللَّـهِ ۗ أَلَا بِذِكْرِ اللَّـهِ تَطْمَئِنُّ الْقُلُوبُ",[13:28],"Allatheena amanoo watatmainnu quloobuhum bithikri Allahi ala bithikri Allahi tatmainnu alquloobu","Those who have believed and whose hearts are assured by the remembrance of Allah. Unquestionably, by the remembrance of Allah hearts are assured.""",33,0,0
13,"إِنَّ اللَّـهَ مَعَ الصَّابِرِينَ",[8:46],"Inna Allaha maAAa alssabireena","Indeed, Allah is with the patient.",33,0,0
14,"رَبَّنَا إِنَّنَا آمَنَّا فَاغْفِرْ لَنَا ذُنُوبَنَا وَقِنَا عَذَابَ النَّارِ",[3:16],"Rabbana innana amanna faighfir lanathunoobana waqina AAathaba alnnari","Forgive us our sins and protect us from the punishment of the Fire,""",33,0,0
15,"وَاللَّـهُ خَيْرُ الرَّازِقِينَ",[62:11],"WaAllahu khayru alrraziqeena","Allah is the best of providers.",33,0,0
16,"رَبَّنَا لاَ تَجْعَلْنَا مَعَ الْقَوْمِ الظَّالِمِينَ",[7:47],"Rabbana la taj'alna ma'al qawwmi-dhalimeen","Our Lord! Send us not to the company of the wrong-doers",33,0,0
17,"إِذَا عَزَمْتَ فَتَوَكَّلْ عَلَى اللَّـهِ ۚ إِنَّ اللَّـهَ يُحِبُّ الْمُتَوَكِّلِينَ",[3:159],"Faitha AAazamta fatawakkal AAala Allahi inna Allaha yuhibbu almutawakkileena","And when you have decided, then rely upon Allah. Indeed, Allah loves those who rely [upon Him].",33,0,0
18,"رَبَّنَا افْتَحْ بَيْنَنَا وَبَيْنَ قَوْمِنَا بِالْحَقِّ وَأَنتَ خَيْرُ الْفَاتِحِينَ",[7:89],"Rabbanaf-tah baynana wa bayna qawmina bil haqqi wa anta Khayrul Fatiheen","Our Lord! Decide Thou between us and our people in truth, for Thou art the best to decide.",33,0,0
19,"رَبَّنَا آمَنَّا فَاكْتُبْنَا مَعَ الشَّاهِدِينَ",[5:83],"Rabbana aamana faktubna ma' ash-shahideen","Our Lord! We believe; write us down among the witnesses.",33,0,0
20,"رَبَّنَا فَاغْفِرْلَنَا ذُنُوبَنَا وَكَفِّرْعَنَّا سَيِّئَاتِنَا وَتَوَفَّنَا مَعَ الأبْرَارِ",[3:193],"Rabbana faghfir lana dhunoobana wa kaffir 'ana sayyi'aatina wa tawaffana ma'al Abrar","Our Lord! Forgive us our sins, blot out from us our iniquities, and take to Thyself our souls in the company of the righteous",33,0,0
21,"رَبَّنَا اغْفِرْلِي وَلِوَالِدَيَّ وَلِلْمُؤْمِنِينَ يَوْمَ يَقُومُ الْحِسَابُ",[14:41],"Rabbanaghfir li wa li wallidayya wa lil Mu'mineena yawma yaqumul hisaab","O our Lord! Cover (us) with Thy Forgiveness - me, my parents, and (all) Believers, on the Day that the Reckoning will be established!",33,0,0
22,"إِنَّ رَبَّنَا لَغَفُورٌ شَكُورٌ",[35:34],"Rabbana la Ghafurun shakur","Indeed, our Lord is Forgiving and Appreciative -",33,0,0
23,"رَبَّنَا آتِنَا مِن لَّدُنكَ رَحْمَةً وَهَيِّئْ لَنَا مِنْ أَمْرِنَا رَشَدًا",[18:10],"Rabbana atina min ladunka rahmatan wahayyi lana min amrina rashadan","Our Lord, grant us from Yourself mercy and prepare for us from our affair right guidance",33,0,0
24,"وَلَسَوْفَ يُعْطِيكَ رَبُّكَ فَتَرْضَىٰ",[93:5],"Walasawfa yuAAteeka rabbuka fatarda","And your Lord is going to give you, and you will be satisfied.",33,0,0
25,"فَسَتَذْكُرُونَ مَا أَقُولُ لَكُمْ ۚ وَأُفَوِّضُ أَمْرِي إِلَى اللَّـهِ ۚ إِنَّ اللَّـهَ بَصِيرٌ بِالْعِبَادِ",[40:44],"Fasatathkuroona ma aqoolu lakum waofawwidu amree ila Allahi inna Allaha baseerun bialAAibadi","And you will remember what I [now] say to you, and I entrust my affair to Allah. Indeed, Allah is Seeing of [His] servants.""",33,0,0
26,"أَعُوذُ بِكَلِمَاتِ اللهِ التَّامَّةِ مِنْ كُلِّ شَيْطَانٍ وَهَامَّةٍ، وَمِنْ كُلِّ عَيْنٍ لَامَّةٍ","Sahih al-Bukhari 3371, Vol. 4, Book 55, Hadith 590","A'udhu bi kalimaat Allaahi ttaammati min kulli shaytaanin wa haammah wa min kulli ‘aynin laammah","I seek refuge in the perfect words of Allah, from every devil and every poisonous reptile, and from every evil eye",33,0,0
27,"وَتَوَكَّلْ عَلَى اللَّـهِ ۚ وَكَفَىٰ بِاللَّـهِ وَكِيلًا",[33:3],"Watawakkal AAala Allahi wakafa biAllahi wakeelan","And rely upon Allah; and sufficient is Allah as Disposer of affairs.",33,0,0
28,"فَإِنَّ مَعَ الْعُسْرِ يُسْرًا",[94:5],"Fainna maAAa alAAusri yusran","For indeed, with hardship [will be] ease.",33,0,0
29,"اَللَّهُمَّ أَجِرْنِي مِنَ النَّارِ","Sunan Abi Dawud 5079, Book 43, Hadith 307","Allahuma Ajirni minan naar","O Allah, save me from the fire (Jahannam)",33,0,0
30,"وَوَجَدَكَ عَائِلًا فَأَغْنَىٰ",[93:8],"Wawajadaka AAailan faaghna","And He found you poor and made [you] self-sufficient.",33,0,0
31,"حَسْبُنَا اللَّهُ وَنِعْمَ الْوَكِيلُ",[3:173],"Hasbunallahu wa ni'mal wakeel","Allah (Alone) is Sufficient for us, and He is the Best Disposer of affairs (for us)",33,0,0
32,"فَاصْبِرْ إِنَّ وَعْدَ اللَّـهِ حَقٌّ ۖ",[30:60],"Faisbir inna waAAda Allahi haqqun ","So be patient. Indeed, the promise of Allah is truth",33,0,0
33,"وَمَن يَتَّقِ اللَّـهَ يَجْعَل لَّهُ مِنْ أَمْرِهِ يُسْرًا",[65:4],"waman yattaqi Allaha yajAAal lahu min amrihi yusran","And whoever fears Allah - He will make for him of his matter ease.",33,0,0
